,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B35,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C12,C13,C14,C15,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,D13,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,G01,G02,G03,G04,G05,J02,J03,K01,K02,K03,K04,K05,K06,K07,K08,N01,N02,N03,N04,N06
C09,15,20,22,24,27,29,31,33,36,38,41,44,47,50,54,11,18,20,24,26,24,32,35,38,41,45,22,15,14,13,11,8,6,3,2,,2,7,9,11,12,16,15,8,15,17,19,21,22,26,28,30,33,36,13,14,16,18,21,24,32,35,38,41,11,10,8,15,17,19,22,24,27,29,32,25,28,31,34,37,14,20,16,18,19,21,25,28,32,35,33,35,37,39,47
C10,17,22,24,26,29,31,33,35,38,40,43,46,49,52,56,13,20,22,26,28,26,34,37,40,43,47,24,17,16,15,13,10,8,5,4,2,,5,7,9,10,18,17,10,17,19,21,23,24,28,30,32,35,38,15,16,18,20,23,26,34,37,40,43,13,12,10,17,19,21,24,26,29,31,34,27,30,33,36,39,12,18,18,20,21,23,27,30,34,37,35,37,39,41,49
C12,22,27,29,31,34,36,38,40,43,45,48,51,54,57,61,18,25,27,31,33,31,39,42,45,48,52,29,22,21,20,18,15,13,10,9,7,5,,2,4,5,23,22,15,22,24,26,28,29,33,35,37,40,43,20,21,23,25,28,31,39,42,45,48,18,17,15,22,24,26,29,31,34,36,39,32,35,38,41,44,7,13,23,25,26,28,32,35,39,42,40,42,44,46,54
C13,24,29,31,33,36,38,40,42,45,47,50,53,56,59,63,20,27,29,33,35,33,41,44,47,50,54,31,24,23,22,20,17,15,12,11,9,7,2,,2,3,25,24,17,24,26,28,30,31,35,37,39,42,45,22,23,25,27,30,33,41,44,47,50,20,19,17,24,26,28,31,33,36,38,41,34,37,40,43,46,5,11,25,27,28,30,34,37,41,44,42,44,46,48,56
C14,29,31,33,35,38,40,42,44,47,49,52,55,58,61,65,22,29,31,35,37,35,43,46,49,52,56,33,29,30,29,27,24,22,14,13,11,9,4,2,,1,28,26,19,26,28,30,32,33,37,39,41,44,47,24,25,27,29,32,35,43,46,49,52,22,21,19,26,28,30,33,35,38,40,43,36,39,42,45,48,12,18,32,34,35,37,41,44,48,51,49,51,53,55,63
C15,30,32,34,36,39,41,43,45,48,50,53,56,59,62,66,23,30,32,36,38,36,44,47,50,53,57,34,30,31,30,28,25,23,15,14,12,10,5,3,1,,29,27,20,27,29,31,33,34,38,40,42,45,48,25,26,28,30,33,36,44,47,50,53,23,22,20,27,29,31,34,36,39,41,44,37,40,43,46,49,13,19,33,35,36,38,42,45,49,52,50,52,54,56,64
D01,1,8,10,12,15,17,19,21,24,26,29,32,35,38,42,8,10,12,16,18,21,24,27,30,33,37,14,1,2,3,5,8,10,13,14,16,18,23,25,28,29,,2,4,6,8,10,12,13,17,19,21,24,27,14,15,17,19,22,21,28,31,34,37,8,11,4,11,13,15,18,20,23,25,28,16,19,22,25,28,30,36,11,13,14,16,20,23,27,30,28,30,32,34,42
D02,3,10,12,14,17,19,21,23,26,28,31,34,37,40,44,10,12,14,18,20,23,26,29,32,35,39,16,3,4,5,7,10,12,12,13,15,17,22,24,26,27,2,,2,4,6,8,10,11,15,17,19,22,25,12,13,15,17,20,23,26,29,32,35,10,9,2,9,11,13,16,18,21,23,26,14,17,20,23,26,32,38,13,15,16,18,22,25,29,32,30,32,34,36,44
D03,5,12,14,16,19,21,23,25,28,30,33,36,39,42,46,3,10,12,16,18,16,24,27,30,33,37,14,5,6,7,9,12,13,5,6,8,10,15,17,19,20,4,2,,2,4,6,8,9,13,15,17,20,23,5,6,8,10,13,16,19,22,25,28,3,2,,2,4,6,9,11,14,16,19,12,15,18,21,24,27,33,15,17,18,20,24,27,31,34,32,34,36,38,46
D04,7,14,16,18,21,23,25,27,30,32,35,38,41,44,48,10,16,18,22,24,23,30,33,36,39,43,20,7,8,9,11,14,16,12,13,15,17,22,24,26,27,6,4,2,,2,4,6,7,11,13,15,18,21,12,13,15,17,20,23,26,29,32,35,10,9,2,9,11,13,16,18,21,23,26,10,13,16,19,22,34,40,17,19,20,22,26,29,33,36,34,36,38,40,48
